Address:,USB0::0x0957::0x179B::MY54313421::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313421,,0.00096328125,44.2211124300957,0.031055276049301,
Firmware Version:,02.66.2024012316,,0.0009638020825,43.9698561094701,-0.0530653260648251,
Start Time:,2025-05-19 16:50:48.744,,0.000964322915,44.3216149583459,0.0259296479634941,
,,,0.0009648437475,43.9698561094701,-0.0165829143952578,
Analog Sample Count:,960,,0.00096536458,44.0201073735952,-0.0352763815317303,
Function Sample Count:,0,,0.0009658854125,44.1206099018455,0.0036180904135108,
Waveform Memory Sample Count:,0,,0.000966406245,43.8191023170948,-0.0654271349776536,
Digital Sample Count:,0,,0.0009669270775,44.1206099018455,0.0108542712405324,
,,,0.00096744791,44.1708611659706,-0.0105527637060732,
Setup Text Information:,,,0.0009679687425,44.1206099018455,-0.0364824116695672,
ANALOG,,,0.000968489575,43.8693535812199,0.0081407034303993,
Channel 1,,,0.0009690104075,44.0703586377203,-0.0346733664628118,
Scale,20 V/,,0.00096953124,43.919604845345,-0.0268341705668718,
Pos,0 V,,0.0009700520725,44.2713636942208,0.0518592959269881,
Coup,,,0.000970572905,43.8191023170948,-0.0379899493418634,
BW,Off,,0.0009710937375,43.9698561094701,-0.0494472356513143,
Inv,Off,,0.00097161457,44.2211124300957,0.0862311548553407,
Imp,1M Ohm,,0.0009721354025,44.2211124300957,-0.0111557787749916,
Trace Label,1,,0.000972656235,44.2211124300957,0.0455276377033442,
Probe,10,,0.0009731770675,44.0201073735952,-0.0174874369986355,
Skew,0 s,,0.0009736979,44.1206099018455,-0.023216080153361,
,,,0.0009742187325,44.1708611659706,0.0554773863404989,
Channel 2,,,0.000974739565,44.0703586377203,0.0217085424810648,
Scale,120 mV/,,0.0009752603975,43.919604845345,-0.050351758254692,
Pos,0 V,,0.00097578123,44.0201073735952,-0.00331658287905157,
Coup,,,0.0009763020625,44.1708611659706,-0.036180904135108,
BW,Off,,0.000976822895,44.1708611659706,0.00844221096485853,
Inv,Off,,0.0009773437275,44.1206099018455,-0.0223115575499833,
Imp,1M Ohm,,0.00097786456,44.0201073735952,-0.018090452067554,
Trace Label,2,,0.0009783853925,44.2211124300957,-0.0045226130168885,
Probe,10,,0.000978906225,44.2211124300957,-0.0171859294641763,
Skew,0 s,,0.0009794270575,44.2211124300957,-0.0123618089128286,
,,,0.00097994789,43.6180972605944,-0.0494472356513143,
MATH,,,0.0009804687225,44.2211124300957,0.0518592959269881,
REFERENCE WAVEFORM,,,0.000980989555,43.8191023170948,-0.0391959794797003,
TRIGGER,,,0.0009815103875,44.0703586377203,0.00301507534459233,
Sweep Mode,NORM,,0.00098203122,44.2211124300957,0.0126633164472878,
Coup,DC,,0.0009825520525,43.919604845345,-0.0235175876878202,
Noise Rej,Off,,0.000983072885,44.1708611659706,0.0416080397553742,
HF Rej,Off,,0.0009835937175,43.9698561094701,-0.0364824116695672,
Holdoff,40.0 ns,,0.00098411455,44.1708611659706,0.0192964822053909,
Mode,EDGE,,0.0009846353825,44.0703586377203,0.0244221102911979,
Source,WGEN,,0.000985156215,43.8191023170948,-0.0346733664628118,
Slope,POS,,0.0009856770475,44.2211124300957,0.0340703513938934,
Level,0 V V,,0.00098619788,44.1708611659706,-0.0105527637060732,
,,,0.0009867187125,44.0703586377203,0.0135678390506655,
HORIZONTAL,,,0.000987239545,44.1206099018455,0.0123618089128286,
Mode,MAIN,,0.0009877603775,44.1708611659706,-0.00874371849931777,
Ref,CENT,,0.00098828121,44.1206099018455,-0.000301507534459233,
Main Scale,50 µs/,,0.0009888020425,44.1708611659706,-0.00964824110269547,
Main Delay,1.213 ms,,0.000989322875,44.1708611659706,-0.0099497486371547,
,,,0.0009898437075,44.1708611659706,-0.014170854119584,
ACQUISITION,,,0.00099036454,44.371866222471,0.0132663315162063,
Mode,AVER,,0.0009908853725,44.1708611659706,-0.00964824110269547,
RealTime,On,,0.000991406205,43.8191023170948,-0.0434170849621296,
Vectors,On,,0.0009919270375,43.9698561094701,0.0171859294641763,
Persistence,Off,,0.00099244787,44.1708611659706,-0.0313567835837603,
,,,0.0009929687025,44.0703586377203,-0.0174874369986355,
,,,0.000993489535,43.9698561094701,-0.0425125623587519,
,,,0.0009940103675,43.919604845345,-0.0168844219297171,
,,,0.0009945312,44.2713636942208,0.0530653260648251,
,,,0.0009950520325,43.6683485247195,-0.0690452253911644,
,,,0.000995572865,44.2211124300957,0.0280402007047087,
,,,0.0009960936975,44.1206099018455,0.0446231150999665,
,,,0.00099661453,44.0201073735952,-0.0105527637060732,
,,,0.0009971353625,43.9698561094701,0.0382914568763226,
,,,0.000997656195,44.1708611659706,0.0211055274121463,
,,,0.0009981770275,43.919604845345,-0.0449246226344258,
,,,0.00099869786,44.0201073735952,0.0741708534769714,
,,,0.0009992186925,43.8693535812199,-0.0253266328945756,
,,,0.000999739525,44.1206099018455,0.0325628137215972,
,,,0.0010002603575,43.6180972605944,-0.116080400766805,
,,,0.00100078119,42.8140770345926,-0.294271353632212,
,,,0.0010013020225,42.5628207139671,-0.285829142667353,
,,,0.001001822855,41.6582979597151,-0.423618085915223,
,,,0.0010023436875,41.155785318464,-0.44050250784494,
,,,0.00100286452,40.5527701489627,-0.426331653725356,
,,,0.0010033853525,40.1005087718368,-0.470050246221945,
,,,0.001003906185,39.3467398099601,-0.476683411980048,
,,,0.0010044270175,38.9447296969593,-0.421507533174008,
,,,0.00100494785,38.4422170557082,-0.465527633205056,
,,,0.0010054686825,37.8392018862069,-0.415175874950364,
,,,0.001005989515,37.2361867167056,-0.441105522913858,
,,,0.0010065103475,36.7336740754545,-0.433567834552377,
,,,0.00100703118,36.4824177548289,-0.372361805057153,
