Address:,USB0::0x0957::0x179B::MY54313421::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313421,,-0.04203125,-0.092278583208099,-0.0135866725468077,
Firmware Version:,02.66.2024012316,,-0.0419791666675,-0.092278583208099,-0.0135866725468077,
Start Time:,2025-06-09 16:25:57.615,,-0.041927083335,-0.0905197896063328,-0.0135866725468077,
,,,-0.0418750000025,-0.092278583208099,-0.0144660695223138,
Analog Sample Count:,959,,-0.04182291667,-0.092278583208099,-0.0127072755713016,
Function Sample Count:,0,,-0.0417708333375,-0.092278583208099,-0.0135866725468077,
Waveform Memory Sample Count:,0,,-0.041718750005,-0.092278583208099,-0.0144660695223138,
Digital Sample Count:,0,,-0.0416666666725,-0.092278583208099,-0.0144660695223138,
,,,-0.04161458334,-0.092278583208099,-0.0144660695223138,
Setup Text Information:,,,-0.0415625000075,-0.092278583208099,-0.0144660695223138,
ANALOG,,,-0.041510416675,-0.092278583208099,-0.0144660695223138,
Channel 1,,,-0.0414583333425,-0.092278583208099,-0.0144660695223138,
Scale,1 V/,,-0.04140625001,-0.092278583208099,-0.0144660695223138,
Pos,0 V,,-0.0413541666775,-0.092278583208099,-0.0153454664978199,
Coup,,,-0.041302083345,-0.092278583208099,-0.0144660695223138,
BW,Off,,-0.0412500000125,-0.092278583208099,-0.0144660695223138,
Inv,Off,,-0.04119791668,-0.092278583208099,-0.0144660695223138,
Imp,1M Ohm,,-0.0411458333475,-0.092278583208099,-0.0153454664978199,
Trace Label,1,,-0.041093750015,-0.092278583208099,-0.0135866725468077,
Probe,1,,-0.0410416666825,-0.092278583208099,-0.0144660695223138,
Skew,0 s,,-0.04098958335,-0.092278583208099,-0.0153454664978199,
,,,-0.0409375000175,-0.0905197896063328,-0.0144660695223138,
Channel 2,,,-0.040885416685,-0.092278583208099,-0.0144660695223138,
Scale,300 mV/,,-0.0408333333525,-0.0905197896063328,-0.0153454664978199,
Pos,3.5 mV,,-0.04078125002,-0.092278583208099,-0.0144660695223138,
Coup,,,-0.0407291666875,-0.092278583208099,-0.0144660695223138,
BW,Off,,-0.040677083355,-0.092278583208099,-0.0135866725468077,
Inv,Off,,-0.0406250000225,-0.092278583208099,-0.0144660695223138,
Imp,1M Ohm,,-0.04057291669,-0.0905197896063328,-0.0153454664978199,
Trace Label,2,,-0.0405208333575,-0.092278583208099,-0.0153454664978199,
Probe,1,,-0.040468750025,-0.0905197896063328,-0.0144660695223138,
Skew,0 s,,-0.0404166666925,-0.0905197896063328,-0.0144660695223138,
,,,-0.04036458336,-0.092278583208099,-0.0144660695223138,
MATH,,,-0.0403125000275,-0.092278583208099,-0.0153454664978199,
REFERENCE WAVEFORM,,,-0.040260416695,-0.092278583208099,-0.0144660695223138,
TRIGGER,,,-0.0402083333625,-0.092278583208099,-0.0144660695223138,
