Address:,USB0::0x0957::0x179B::MY54313421::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313421,,-0.04203125,-0.201694827526808,-0.00254446963663213,
Firmware Version:,02.66.2024012316,,-0.0419791666675,-0.201694827526808,-0.00254446963663213,
Start Time:,2025-06-09 16:39:15.654,,-0.041927083335,-0.194408395327628,-0.00254446963663213,
,,,-0.0418750000025,-0.201694827526808,-0.00254446963663213,
Analog Sample Count:,959,,-0.04182291667,-0.201694827526808,-0.00254446963663213,
Function Sample Count:,0,,-0.0417708333375,-0.201694827526808,-0.00254446963663213,
Waveform Memory Sample Count:,0,,-0.041718750005,-0.201694827526808,-0.00254446963663213,
Digital Sample Count:,0,,-0.0416666666725,-0.201694827526808,-0.00254446963663213,
,,,-0.04161458334,-0.201694827526808,-0.00254446963663213,
Setup Text Information:,,,-0.0415625000075,-0.201694827526808,-0.00254446963663213,
ANALOG,,,-0.041510416675,-0.201694827526808,-0.00254446963663213,
Channel 1,,,-0.0414583333425,-0.216267691925168,-0.00254446963663213,
Scale,1.28 V/,,-0.04140625001,-0.201694827526808,-0.00254446963663213,
Pos,4.14325 V,,-0.0413541666775,-0.201694827526808,-0.00254446963663213,
Coup,,,-0.041302083345,-0.208981259725988,-0.00254446963663213,
BW,Off,,-0.0412500000125,-0.201694827526808,-0.00254446963663213,
Inv,Off,,-0.04119791668,-0.201694827526808,-0.00254446963663213,
Imp,1M Ohm,,-0.0411458333475,-0.201694827526808,-0.00254446963663213,
Trace Label,1,,-0.041093750015,-0.201694827526808,-0.00254446963663213,
Probe,1,,-0.0410416666825,-0.208981259725988,-0.00254446963663213,
Skew,0 s,,-0.04098958335,-0.208981259725988,-0.00254446963663213,
,,,-0.0409375000175,-0.201694827526808,-0.00254446963663213,
Channel 2,,,-0.040885416685,-0.201694827526808,-0.00254446963663213,
Scale,144 mV/,,-0.0408333333525,-0.201694827526808,-0.00254446963663213,
Pos,491.33 mV,,-0.04078125002,-0.208981259725988,-0.00254446963663213,
Coup,,,-0.0407291666875,-0.201694827526808,-0.00254446963663213,
BW,Off,,-0.040677083355,-0.201694827526808,-0.00254446963663213,
Inv,Off,,-0.0406250000225,-0.208981259725988,-0.0029062787652947,
Imp,1M Ohm,,-0.04057291669,-0.201694827526808,-0.00254446963663213,
Trace Label,2,,-0.0405208333575,-0.201694827526808,-0.00254446963663213,
Probe,1,,-0.040468750025,-0.201694827526808,-0.0029062787652947,
Skew,0 s,,-0.0404166666925,-0.208981259725988,-0.00254446963663213,
,,,-0.04036458336,-0.208981259725988,-0.00254446963663213,
MATH,,,-0.0403125000275,-0.208981259725988,-0.00254446963663213,
REFERENCE WAVEFORM,,,-0.040260416695,-0.208981259725988,-0.00254446963663213,
TRIGGER,,,-0.0402083333625,-0.208981259725988,-0.00218266050796956,
Sweep Mode,AUTO,,-0.04015625003,-0.208981259725988,-0.00254446963663213,
Coup,DC,,-0.0401041666975,-0.201694827526808,-0.00254446963663213,
Noise Rej,Off,,-0.040052083365,-0.201694827526808,-0.00254446963663213,
HF Rej,Off,,-0.0400000000325,-0.201694827526808,-0.00254446963663213,
Holdoff,40.0 ns,,-0.0399479167,-0.208981259725988,-0.00218266050796956,
Mode,GLIT,,-0.0398958333675,-0.201694827526808,-0.00254446963663213,
Source,CHAN1,,-0.039843750035,-0.208981259725988,-0.00254446963663213,
Slope,POS,,-0.0397916667025,-0.208981259725988,-0.00254446963663213,
Level,405 mV V,,-0.03973958337,-0.208981259725988,-0.00254446963663213,
,,,-0.0396875000375,-0.201694827526808,-0.00254446963663213,
HORIZONTAL,,,-0.039635416705,-0.201694827526808,-0.00254446963663213,
Mode,MAIN,,-0.0395833333725,-0.201694827526808,-0.00254446963663213,
Ref,CENT,,-0.03953125004,-0.201694827526808,-0.00254446963663213,
Main Scale,5 ms/,,-0.0394791667075,-0.201694827526808,-0.00254446963663213,
Main Delay,-17 ms,,-0.039427083375,-0.201694827526808,-0.00254446963663213,
,,,-0.0393750000425,-0.201694827526808,-0.00254446963663213,
ACQUISITION,,,-0.03932291671,-0.201694827526808,-0.00254446963663213,
Mode,HRES,,-0.0392708333775,-0.201694827526808,-0.00254446963663213,
RealTime,On,,-0.039218750045,-0.201694827526808,-0.0029062787652947,
Vectors,On,,-0.0391666667125,-0.201694827526808,-0.0029062787652947,
Persistence,Off,,-0.03911458338,-0.208981259725988,-0.00254446963663213,
,,,-0.0390625000475,-0.201694827526808,-0.00254446963663213,
,,,-0.039010416715,-0.201694827526808,-0.00254446963663213,
,,,-0.0389583333825,-0.201694827526808,-0.00254446963663213,
,,,-0.03890625005,-0.208981259725988,-0.00254446963663213,
,,,-0.0388541667175,-0.201694827526808,-0.00254446963663213,
,,,-0.038802083385,-0.208981259725988,-0.00254446963663213,
,,,-0.0387500000525,-0.201694827526808,-0.00254446963663213,
,,,-0.03869791672,-0.208981259725988,-0.00254446963663213,
,,,-0.0386458333875,-0.201694827526808,-0.00254446963663213,
,,,-0.038593750055,-0.201694827526808,-0.00254446963663213,
,,,-0.0385416667225,-0.201694827526808,-0.00254446963663213,
,,,-0.03848958339,-0.201694827526808,-0.00254446963663213,
,,,-0.0384375000575,-0.201694827526808,-0.00254446963663213,
,,,-0.038385416725,-0.201694827526808,-0.00254446963663213,
,,,-0.0383333333925,-0.201694827526808,-0.00254446963663213,
,,,-0.03828125006,-0.208981259725988,-0.00254446963663213,
,,,-0.0382291667275,-0.201694827526808,-0.00254446963663213,
,,,-0.038177083395,-0.201694827526808,-0.0029062787652947,
,,,-0.0381250000625,-0.201694827526808,-0.00254446963663213,
,,,-0.03807291673,-0.201694827526808,-0.00254446963663213,
,,,-0.0380208333975,-0.201694827526808,-0.00254446963663213,
,,,-0.037968750065,-0.201694827526808,-0.00254446963663213,
,,,-0.0379166667325,-0.201694827526808,-0.00254446963663213,
,,,-0.0378645834,-0.201694827526808,-0.00254446963663213,
,,,-0.0378125000675,-0.201694827526808,-0.00254446963663213,
,,,-0.037760416735,-0.201694827526808,-0.00254446963663213,
,,,-0.0377083334025,-0.201694827526808,-0.00254446963663213,
,,,-0.03765625007,-0.208981259725988,-0.00254446963663213,
,,,-0.0376041667375,-0.201694827526808,-0.00254446963663213,
,,,-0.037552083405,-0.201694827526808,-0.00218266050796956,
,,,-0.0375000000725,-0.201694827526808,-0.00254446963663213,
,,,-0.03744791674,-0.208981259725988,-0.00254446963663213,
,,,-0.0373958334075,-0.208981259725988,-0.00254446963663213,
,,,-0.037343750075,-0.201694827526808,-0.00218266050796956,
,,,-0.0372916667425,-0.201694827526808,-0.00254446963663213,
,,,-0.03723958341,-0.201694827526808,-0.00254446963663213,
,,,-0.0371875000775,-0.194408395327628,-0.00254446963663213,
,,,-0.037135416745,-0.201694827526808,-0.00254446963663213,
,,,-0.0370833334125,-0.201694827526808,-0.00254446963663213,
,,,-0.03703125008,-0.201694827526808,-0.00254446963663213,
,,,-0.0369791667475,-0.201694827526808,-0.00254446963663213,
,,,-0.036927083415,-0.201694827526808,-0.00254446963663213,
,,,-0.0368750000825,-0.201694827526808,-0.00254446963663213,
,,,-0.03682291675,-0.201694827526808,-0.00254446963663213,
,,,-0.0367708334175,-0.208981259725988,-0.00254446963663213,
,,,-0.036718750085,-0.194408395327628,-0.00218266050796956,
