Address:,USB0::0x0957::0x179B::MY54313421::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313421,,-0.04203125,-0.225115024950355,-5.00275054946542E-05,
Firmware Version:,02.66.2024012316,,-0.0419791666675,-0.225115024950355,-5.00275054946542E-05,
Start Time:,2025-06-09 16:35:17.686,,-0.041927083335,-0.225115024950355,0.000281630724202842,
,,,-0.0418750000025,-0.225115024950355,-5.00275054946542E-05,
Analog Sample Count:,959,,-0.04182291667,-0.225115024950355,-5.00275054946542E-05,
Function Sample Count:,0,,-0.0417708333375,-0.230391407385468,-5.00275054946542E-05,
Waveform Memory Sample Count:,0,,-0.041718750005,-0.230391407385468,-5.00275054946542E-05,
Digital Sample Count:,0,,-0.0416666666725,-0.225115024950355,-5.00275054946542E-05,
,,,-0.04161458334,-0.225115024950355,-5.00275054946542E-05,
Setup Text Information:,,,-0.0415625000075,-0.219838642515242,-5.00275054946542E-05,
ANALOG,,,-0.041510416675,-0.225115024950355,-5.00275054946542E-05,
Channel 1,,,-0.0414583333425,-0.225115024950355,-5.00275054946542E-05,
Scale,2.9 V/,,-0.04140625001,-0.225115024950355,-5.00275054946542E-05,
Pos,9.38725 V,,-0.0413541666775,-0.225115024950355,-5.00275054946542E-05,
Coup,,,-0.041302083345,-0.225115024950355,0.000281630724202842,
BW,Off,,-0.0412500000125,-0.219838642515242,0.000281630724202842,
Inv,Off,,-0.04119791668,-0.225115024950355,0.000281630724202842,
Imp,1M Ohm,,-0.0411458333475,-0.225115024950355,-5.00275054946542E-05,
Trace Label,1,,-0.041093750015,-0.225115024950355,-5.00275054946542E-05,
Probe,1,,-0.0410416666825,-0.225115024950355,-5.00275054946542E-05,
Skew,0 s,,-0.04098958335,-0.225115024950355,-5.00275054946542E-05,
,,,-0.0409375000175,-0.225115024950355,-5.00275054946542E-05,
Channel 2,,,-0.040885416685,-0.225115024950355,-5.00275054946542E-05,
Scale,144 mV/,,-0.0408333333525,-0.225115024950355,-5.00275054946542E-05,
Pos,491.33 mV,,-0.04078125002,-0.225115024950355,-5.00275054946542E-05,
Coup,,,-0.0407291666875,-0.225115024950355,-5.00275054946542E-05,
BW,Off,,-0.040677083355,-0.219838642515242,-5.00275054946542E-05,
Inv,Off,,-0.0406250000225,-0.219838642515242,-5.00275054946542E-05,
Imp,1M Ohm,,-0.04057291669,-0.225115024950355,-5.00275054946542E-05,
Trace Label,2,,-0.0405208333575,-0.225115024950355,-5.00275054946542E-05,
Probe,1,,-0.040468750025,-0.219838642515242,-5.00275054946542E-05,
Skew,0 s,,-0.0404166666925,-0.225115024950355,-5.00275054946542E-05,
,,,-0.04036458336,-0.225115024950355,-5.00275054946542E-05,
MATH,,,-0.0403125000275,-0.225115024950355,0.000281630724202842,
REFERENCE WAVEFORM,,,-0.040260416695,-0.225115024950355,0.000281630724202842,
TRIGGER,,,-0.0402083333625,-0.230391407385468,-5.00275054946542E-05,
Sweep Mode,AUTO,,-0.04015625003,-0.225115024950355,-5.00275054946542E-05,
Coup,DC,,-0.0401041666975,-0.219838642515242,-5.00275054946542E-05,
Noise Rej,Off,,-0.040052083365,-0.230391407385468,-5.00275054946542E-05,
HF Rej,Off,,-0.0400000000325,-0.225115024950355,-5.00275054946542E-05,
Holdoff,40.0 ns,,-0.0399479167,-0.225115024950355,0.000281630724202842,
Mode,GLIT,,-0.0398958333675,-0.219838642515242,-5.00275054946542E-05,
Source,CHAN1,,-0.039843750035,-0.225115024950355,-5.00275054946542E-05,
Slope,POS,,-0.0397916667025,-0.219838642515242,-5.00275054946542E-05,
Level,405 mV V,,-0.03973958337,-0.225115024950355,-5.00275054946542E-05,
,,,-0.0396875000375,-0.225115024950355,-5.00275054946542E-05,
HORIZONTAL,,,-0.039635416705,-0.225115024950355,-5.00275054946542E-05,
Mode,MAIN,,-0.0395833333725,-0.225115024950355,0.000281630724202842,
Ref,CENT,,-0.03953125004,-0.225115024950355,-5.00275054946542E-05,
Main Scale,5 ms/,,-0.0394791667075,-0.225115024950355,-5.00275054946542E-05,
Main Delay,-17 ms,,-0.039427083375,-0.225115024950355,-5.00275054946542E-05,
,,,-0.0393750000425,-0.225115024950355,-5.00275054946542E-05,
ACQUISITION,,,-0.03932291671,-0.225115024950355,-5.00275054946542E-05,
Mode,HRES,,-0.0392708333775,-0.225115024950355,-5.00275054946542E-05,
RealTime,On,,-0.039218750045,-0.230391407385468,-5.00275054946542E-05,
Vectors,On,,-0.0391666667125,-0.225115024950355,-5.00275054946542E-05,
Persistence,Off,,-0.03911458338,-0.225115024950355,-5.00275054946542E-05,
,,,-0.0390625000475,-0.225115024950355,-5.00275054946542E-05,
,,,-0.039010416715,-0.230391407385468,-5.00275054946542E-05,
,,,-0.0389583333825,-0.230391407385468,-5.00275054946542E-05,
,,,-0.03890625005,-0.225115024950355,-5.00275054946542E-05,
,,,-0.0388541667175,-0.230391407385468,-5.00275054946542E-05,
,,,-0.038802083385,-0.225115024950355,-5.00275054946542E-05,
,,,-0.0387500000525,-0.225115024950355,-5.00275054946542E-05,
,,,-0.03869791672,-0.230391407385468,-0.00038168573519215,
,,,-0.0386458333875,-0.225115024950355,-5.00275054946542E-05,
,,,-0.038593750055,-0.230391407385468,-5.00275054946542E-05,
,,,-0.0385416667225,-0.225115024950355,-5.00275054946542E-05,
,,,-0.03848958339,-0.225115024950355,0.000281630724202842,
,,,-0.0384375000575,-0.230391407385468,-5.00275054946542E-05,
