Address:,USB0::0x0957::0x179B::MY54313428::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313428,,-3.0330775E-06,1.85307013243437,-2.01005029678345,
Firmware Version:,02.66.2024012316,,-3.0320775E-06,1.85307013243437,-2.01005029678345,
Start Time:,2025-07-02 14:44:19.967,,-3.0310775E-06,1.85307013243437,-2.01005029678345,
,,,-3.0300775E-06,1.85307013243437,-2.01005029678345,
Analog Sample Count:,100000,,-3.0290775E-06,1.85307013243437,-2.01005029678345,
Function Sample Count:,0,,-3.0280775E-06,1.85307013243437,-2.01005029678345,
Waveform Memory Sample Count:,0,,-3.0270775E-06,1.85307013243437,-2.01005029678345,
Digital Sample Count:,0,,-3.0260775E-06,1.85307013243437,-2.01005029678345,
,,,-3.0250775E-06,1.85307013243437,-2.01005029678345,
Setup Text Information:,,,-3.0240775E-06,1.85307013243437,-2.01005029678345,
ANALOG,,,-3.0230775E-06,1.89648722112179,-2.01005029678345,
Channel 1,,,-3.0220775E-06,1.89648722112179,0,
Scale,1.08 V/,,-3.0210775E-06,1.89648722112179,0,
Pos,3.199 V,,-3.0200775E-06,1.85307013243437,-2.01005029678345,
Coup,,,-3.0190775E-06,1.85307013243437,-2.01005029678345,
BW,Off,,-3.0180775E-06,1.85307013243437,-2.01005029678345,
Inv,Off,,-3.0170775E-06,1.85307013243437,-2.01005029678345,
Imp,1M Ohm,,-3.0160775E-06,1.85307013243437,-2.01005029678345,
Trace Label,1,,-3.0150775E-06,1.85307013243437,-2.01005029678345,
Probe,10,,-3.0140775E-06,1.85307013243437,-2.01005029678345,
Skew,0 s,,-3.0130775E-06,1.85307013243437,-2.01005029678345,
,,,-3.0120775E-06,1.85307013243437,-2.01005029678345,
Channel 2,,,-3.0110775E-06,1.85307013243437,-2.01005029678345,
Scale,50 V/,,-3.0100775E-06,1.85307013243437,-2.01005029678345,
Pos,0 V,,-3.0090775E-06,1.85307013243437,-2.01005029678345,
Coup,,,-3.0080775E-06,1.85307013243437,-2.01005029678345,
BW,Off,,-3.0070775E-06,1.85307013243437,-2.01005029678345,
Inv,Off,,-3.0060775E-06,1.85307013243437,-2.01005029678345,
Imp,1M Ohm,,-3.0050775E-06,1.85307013243437,-2.01005029678345,
Trace Label,2,,-3.0040775E-06,1.85307013243437,-2.01005029678345,
Probe,10,,-3.0030775E-06,1.85307013243437,-2.01005029678345,
Skew,0 s,,-3.0020775E-06,1.89648722112179,-2.01005029678345,
,,,-3.0010775E-06,1.89648722112179,-2.01005029678345,
MATH,,,-3.0000775E-06,1.89648722112179,-2.01005029678345,
REFERENCE WAVEFORM,,,-2.9990775E-06,1.85307013243437,-2.01005029678345,
TRIGGER,,,-2.9980775E-06,1.85307013243437,-2.01005029678345,
Sweep Mode,AUTO,,-2.9970775E-06,1.85307013243437,-2.01005029678345,
Coup,DC,,-2.9960775E-06,1.85307013243437,-2.01005029678345,
Noise Rej,Off,,-2.9950775E-06,1.85307013243437,-2.01005029678345,
HF Rej,Off,,-2.9940775E-06,1.89648722112179,-2.01005029678345,
Holdoff,40.0 ns,,-2.9930775E-06,1.85307013243437,-2.01005029678345,
Mode,EDGE,,-2.9920775E-06,1.85307013243437,-2.01005029678345,
Source,CHAN2,,-2.9910775E-06,1.85307013243437,-2.01005029678345,
Slope,NEG,,-2.9900775E-06,1.85307013243437,-2.01005029678345,
Level,-30.5 V V,,-2.9890775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9880775E-06,1.85307013243437,-2.01005029678345,
HORIZONTAL,,,-2.9870775E-06,1.85307013243437,-2.01005029678345,
Mode,MAIN,,-2.9860775E-06,1.85307013243437,-2.01005029678345,
Ref,CENT,,-2.9850775E-06,1.85307013243437,-2.01005029678345,
Main Scale,10 µs/,,-2.9840775E-06,1.85307013243437,-2.01005029678345,
Main Delay,47 µs,,-2.9830775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9820775E-06,1.85307013243437,-2.01005029678345,
ACQUISITION,,,-2.9810775E-06,1.85307013243437,-2.01005029678345,
Mode,NORM,,-2.9800775E-06,1.85307013243437,-2.01005029678345,
RealTime,On,,-2.9790775E-06,1.85307013243437,-2.01005029678345,
Vectors,On,,-2.9780775E-06,1.85307013243437,-2.01005029678345,
Persistence,Off,,-2.9770775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9760775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9750775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9740775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9730775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9720775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9710775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9700775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9690775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9680775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9670775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9660775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9650775E-06,1.89648722112179,-2.01005029678345,
,,,-2.9640775E-06,1.89648722112179,-2.01005029678345,
,,,-2.9630775E-06,1.89648722112179,-2.01005029678345,
,,,-2.9620775E-06,1.89648722112179,-2.01005029678345,
,,,-2.9610775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9600775E-06,1.85307013243437,-2.01005029678345,
,,,-2.9590775E-06,1.85307013243437,-2.01005029678345,
