Description	
Number of Runs	60
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	14	1	05/12/26 05:04:42 PM	
2	900	13	1	05/12/26 05:04:43 PM	
3	900	15	1	05/12/26 05:04:44 PM	
4	900	20	1	05/12/26 05:04:45 PM	
5	900	17	1	05/12/26 05:04:46 PM	
6	900	12	1	05/12/26 05:04:47 PM	
7	900	20	1	05/12/26 05:04:49 PM	
8	900	11	1	05/12/26 05:04:50 PM	
9	900	10	1	05/12/26 05:04:51 PM	
10	900	26	1	05/12/26 05:04:52 PM	
11	900	17	1	05/12/26 05:04:53 PM	
12	900	19	1	05/12/26 05:04:54 PM	
13	900	19	1	05/12/26 05:04:56 PM	
14	900	18	1	05/12/26 05:04:57 PM	
15	900	19	1	05/12/26 05:04:58 PM	
16	900	14	1	05/12/26 05:04:59 PM	
17	900	20	1	05/12/26 05:05:00 PM	
18	900	11	1	05/12/26 05:05:01 PM	
19	900	10	1	05/12/26 05:05:02 PM	
20	900	12	1	05/12/26 05:05:04 PM	
21	900	22	1	05/12/26 05:05:05 PM	
22	900	22	1	05/12/26 05:05:06 PM	
23	900	17	1	05/12/26 05:05:07 PM	
24	900	12	1	05/12/26 05:05:08 PM	
25	900	15	1	05/12/26 05:05:09 PM	
26	900	17	1	05/12/26 05:05:10 PM	
27	900	17	1	05/12/26 05:05:12 PM	
28	900	11	1	05/12/26 05:05:13 PM	
29	900	16	1	05/12/26 05:05:14 PM	
30	900	20	1	05/12/26 05:05:15 PM	
31	900	16	1	05/12/26 05:05:16 PM	
32	900	21	1	05/12/26 05:05:17 PM	
33	900	10	1	05/12/26 05:05:19 PM	
34	900	2	1	05/12/26 05:05:20 PM	
35	900	15	1	05/12/26 05:05:21 PM	
36	900	22	1	05/12/26 05:05:22 PM	
37	900	13	1	05/12/26 05:05:23 PM	
38	900	19	1	05/12/26 05:05:24 PM	
39	900	9	1	05/12/26 05:05:26 PM	
40	900	23	1	05/12/26 05:05:27 PM	
41	900	16	1	05/12/26 05:05:28 PM	
42	900	15	1	05/12/26 05:05:29 PM	
43	900	22	1	05/12/26 05:05:30 PM	
44	900	23	1	05/12/26 05:05:31 PM	
45	900	20	1	05/12/26 05:05:32 PM	
46	900	22	1	05/12/26 05:05:34 PM	
47	900	19	1	05/12/26 05:05:35 PM	
48	900	18	1	05/12/26 05:05:36 PM	
49	900	14	1	05/12/26 05:05:37 PM	
50	900	12	1	05/12/26 05:05:38 PM	
51	900	16	1	05/12/26 05:05:39 PM	
52	900	13	1	05/12/26 05:05:41 PM	
53	900	17	1	05/12/26 05:05:42 PM	
54	900	16	1	05/12/26 05:05:43 PM	
55	900	18	1	05/12/26 05:05:44 PM	
56	900	20	1	05/12/26 05:05:45 PM	
57	900	13	1	05/12/26 05:05:46 PM	
58	900	11	1	05/12/26 05:05:47 PM	
59	900	21	1	05/12/26 05:05:49 PM	
60	900	14	1	05/12/26 05:05:50 PM	
