Description	
Number of Runs	60
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	31	1	05/12/26 05:10:37 PM	
2	900	32	1	05/12/26 05:10:38 PM	
3	900	23	1	05/12/26 05:10:39 PM	
4	900	23	1	05/12/26 05:10:40 PM	
5	900	27	1	05/12/26 05:10:41 PM	
6	900	23	1	05/12/26 05:10:42 PM	
7	900	31	1	05/12/26 05:10:43 PM	
8	900	37	1	05/12/26 05:10:45 PM	
9	900	24	1	05/12/26 05:10:46 PM	
10	900	27	1	05/12/26 05:10:47 PM	
11	900	25	1	05/12/26 05:10:48 PM	
12	900	24	1	05/12/26 05:10:49 PM	
13	900	35	1	05/12/26 05:10:50 PM	
14	900	36	1	05/12/26 05:10:51 PM	
15	900	27	1	05/12/26 05:10:53 PM	
16	900	38	1	05/12/26 05:10:54 PM	
17	900	24	1	05/12/26 05:10:55 PM	
18	900	31	1	05/12/26 05:10:56 PM	
19	900	25	1	05/12/26 05:10:57 PM	
20	900	25	1	05/12/26 05:10:58 PM	
21	900	30	1	05/12/26 05:10:59 PM	
22	900	32	1	05/12/26 05:11:01 PM	
23	900	20	1	05/12/26 05:11:02 PM	
24	900	32	1	05/12/26 05:11:03 PM	
25	900	33	1	05/12/26 05:11:04 PM	
26	900	30	1	05/12/26 05:11:05 PM	
27	900	30	1	05/12/26 05:11:06 PM	
28	900	36	1	05/12/26 05:11:08 PM	
29	900	29	1	05/12/26 05:11:09 PM	
30	900	36	1	05/12/26 05:11:10 PM	
31	900	32	1	05/12/26 05:11:11 PM	
32	900	30	1	05/12/26 05:11:12 PM	
33	900	32	1	05/12/26 05:11:13 PM	
34	900	27	1	05/12/26 05:11:14 PM	
35	900	29	1	05/12/26 05:11:15 PM	
36	900	26	1	05/12/26 05:11:17 PM	
37	900	24	1	05/12/26 05:11:18 PM	
38	900	31	1	05/12/26 05:11:19 PM	
39	900	23	1	05/12/26 05:11:20 PM	
40	900	30	1	05/12/26 05:11:21 PM	
41	900	20	1	05/12/26 05:11:22 PM	
42	900	31	1	05/12/26 05:11:24 PM	
43	900	29	1	05/12/26 05:11:25 PM	
44	900	26	1	05/12/26 05:11:26 PM	
45	900	29	1	05/12/26 05:11:27 PM	
46	900	24	1	05/12/26 05:11:28 PM	
47	900	27	1	05/12/26 05:11:29 PM	
48	900	32	1	05/12/26 05:11:30 PM	
49	900	35	1	05/12/26 05:11:32 PM	
50	900	41	1	05/12/26 05:11:33 PM	
51	900	33	1	05/12/26 05:11:34 PM	
52	900	34	1	05/12/26 05:11:35 PM	
53	900	18	1	05/12/26 05:11:36 PM	
54	900	34	1	05/12/26 05:11:37 PM	
55	900	31	1	05/12/26 05:11:38 PM	
56	900	39	1	05/12/26 05:11:40 PM	
57	900	42	1	05/12/26 05:11:41 PM	
58	900	28	1	05/12/26 05:11:42 PM	
59	900	27	1	05/12/26 05:11:43 PM	
60	900	30	1	05/12/26 05:11:44 PM	
