Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	900	5	1	05/12/26 03:35:00 PM	
2	900	5	1	05/12/26 03:35:01 PM	
3	900	4	1	05/12/26 03:35:02 PM	
4	900	1	1	05/12/26 03:35:03 PM	
5	900	1	1	05/12/26 03:35:04 PM	
6	900	6	1	05/12/26 03:35:05 PM	
7	900	2	1	05/12/26 03:35:06 PM	
8	900	5	1	05/12/26 03:35:08 PM	
9	900	5	1	05/12/26 03:35:09 PM	
10	900	1	1	05/12/26 03:35:10 PM	
11	900	7	1	05/12/26 03:35:11 PM	
12	900	4	1	05/12/26 03:35:12 PM	
13	900	5	1	05/12/26 03:35:13 PM	
14	900	4	1	05/12/26 03:35:15 PM	
15	900	4	1	05/12/26 03:35:16 PM	
16	900	5	1	05/12/26 03:35:17 PM	
17	900	4	1	05/12/26 03:35:18 PM	
18	900	2	1	05/12/26 03:35:19 PM	
19	900	5	1	05/12/26 03:35:20 PM	
20	900	2	1	05/12/26 03:35:21 PM	
21	900	2	1	05/12/26 03:35:23 PM	
22	900	4	1	05/12/26 03:35:24 PM	
23	900	3	1	05/12/26 03:35:25 PM	
24	900	5	1	05/12/26 03:35:26 PM	
25	900	3	1	05/12/26 03:35:27 PM	
26	900	3	1	05/12/26 03:35:28 PM	
27	900	2	1	05/12/26 03:35:30 PM	
28	900	4	1	05/12/26 03:35:31 PM	
29	900	0	1	05/12/26 03:35:32 PM	
30	900	4	1	05/12/26 03:35:33 PM	
31	900	3	1	05/12/26 03:35:34 PM	
32	900	1	1	05/12/26 03:35:35 PM	
33	900	2	1	05/12/26 03:35:36 PM	
34	900	3	1	05/12/26 03:35:38 PM	
35	900	3	1	05/12/26 03:35:39 PM	
36	900	2	1	05/12/26 03:35:40 PM	
37	900	7	1	05/12/26 03:35:41 PM	
38	900	0	1	05/12/26 03:35:42 PM	
39	900	3	1	05/12/26 03:35:43 PM	
40	900	3	1	05/12/26 03:35:45 PM	
41	900	4	1	05/12/26 03:35:46 PM	
42	900	2	1	05/12/26 03:35:47 PM	
43	900	2	1	05/12/26 03:35:48 PM	
44	900	5	1	05/12/26 03:35:49 PM	
45	900	2	1	05/12/26 03:35:50 PM	
46	900	2	1	05/12/26 03:35:52 PM	
47	900	3	1	05/12/26 03:35:53 PM	
48	900	5	1	05/12/26 03:35:54 PM	
49	900	4	1	05/12/26 03:35:55 PM	
50	900	2	1	05/12/26 03:35:56 PM	
51	900	2	1	05/12/26 03:35:57 PM	
52	900	3	1	05/12/26 03:35:59 PM	
53	900	4	1	05/12/26 03:36:00 PM	
54	900	7	1	05/12/26 03:36:01 PM	
55	900	2	1	05/12/26 03:36:02 PM	
56	900	5	1	05/12/26 03:36:03 PM	
57	900	3	1	05/12/26 03:36:04 PM	
58	900	2	1	05/12/26 03:36:05 PM	
59	900	1	1	05/12/26 03:36:07 PM	
60	900	4	1	05/12/26 03:36:08 PM	
61	900	1	1	05/12/26 03:36:09 PM	
62	900	4	1	05/12/26 03:36:10 PM	
63	900	4	1	05/12/26 03:36:11 PM	
64	900	2	1	05/12/26 03:36:12 PM	
65	900	3	1	05/12/26 03:36:13 PM	
66	900	4	1	05/12/26 03:36:15 PM	
67	900	3	1	05/12/26 03:36:16 PM	
68	900	7	1	05/12/26 03:36:17 PM	
69	900	4	1	05/12/26 03:36:18 PM	
70	900	4	1	05/12/26 03:36:19 PM	
71	900	3	1	05/12/26 03:36:20 PM	
72	900	1	1	05/12/26 03:36:22 PM	
73	900	1	1	05/12/26 03:36:23 PM	
74	900	3	1	05/12/26 03:36:24 PM	
75	900	5	1	05/12/26 03:36:25 PM	
76	900	4	1	05/12/26 03:36:26 PM	
77	900	4	1	05/12/26 03:36:27 PM	
78	900	2	1	05/12/26 03:36:28 PM	
79	900	3	1	05/12/26 03:36:30 PM	
80	900	3	1	05/12/26 03:36:31 PM	
81	900	3	1	05/12/26 03:36:32 PM	
82	900	4	1	05/12/26 03:36:33 PM	
83	900	4	1	05/12/26 03:36:34 PM	
84	900	1	1	05/12/26 03:36:35 PM	
85	900	4	1	05/12/26 03:36:36 PM	
86	900	3	1	05/12/26 03:36:38 PM	
87	900	5	1	05/12/26 03:36:39 PM	
88	900	2	1	05/12/26 03:36:40 PM	
89	900	1	1	05/12/26 03:36:41 PM	
90	900	2	1	05/12/26 03:36:42 PM	
91	900	5	1	05/12/26 03:36:43 PM	
92	900	6	1	05/12/26 03:36:44 PM	
93	900	6	1	05/12/26 03:36:46 PM	
94	900	2	1	05/12/26 03:36:47 PM	
95	900	3	1	05/12/26 03:36:48 PM	
96	900	3	1	05/12/26 03:36:49 PM	
97	900	5	1	05/12/26 03:36:50 PM	
98	900	2	1	05/12/26 03:36:51 PM	
99	900	2	1	05/12/26 03:36:53 PM	
100	900	5	1	05/12/26 03:36:54 PM	
101	900	5	1	05/12/26 03:36:55 PM	
102	900	5	1	05/12/26 03:36:56 PM	
103	900	3	1	05/12/26 03:36:57 PM	
104	900	3	1	05/12/26 03:36:58 PM	
105	900	2	1	05/12/26 03:37:00 PM	
106	900	4	1	05/12/26 03:37:01 PM	
107	900	2	1	05/12/26 03:37:02 PM	
108	900	3	1	05/12/26 03:37:03 PM	
109	900	2	1	05/12/26 03:37:04 PM	
110	900	1	1	05/12/26 03:37:05 PM	
111	900	2	1	05/12/26 03:37:06 PM	
112	900	6	1	05/12/26 03:37:08 PM	
113	900	2	1	05/12/26 03:37:09 PM	
114	900	2	1	05/12/26 03:37:10 PM	
115	900	4	1	05/12/26 03:37:11 PM	
116	900	2	1	05/12/26 03:37:12 PM	
117	900	3	1	05/12/26 03:37:13 PM	
118	900	3	1	05/12/26 03:37:15 PM	
119	900	2	1	05/12/26 03:37:16 PM	
120	900	0	1	05/12/26 03:37:17 PM	
121	900	9	1	05/12/26 03:37:18 PM	
122	900	4	1	05/12/26 03:37:19 PM	
123	900	6	1	05/12/26 03:37:20 PM	
124	900	3	1	05/12/26 03:37:22 PM	
125	900	5	1	05/12/26 03:37:23 PM	
126	900	4	1	05/12/26 03:37:24 PM	
127	900	3	1	05/12/26 03:37:25 PM	
128	900	2	1	05/12/26 03:37:26 PM	
129	900	1	1	05/12/26 03:37:27 PM	
130	900	5	1	05/12/26 03:37:28 PM	
131	900	4	1	05/12/26 03:37:30 PM	
132	900	1	1	05/12/26 03:37:31 PM	
133	900	3	1	05/12/26 03:37:32 PM	
134	900	4	1	05/12/26 03:37:33 PM	
135	900	2	1	05/12/26 03:37:34 PM	
136	900	3	1	05/12/26 03:37:35 PM	
137	900	2	1	05/12/26 03:37:36 PM	
138	900	4	1	05/12/26 03:37:38 PM	
139	900	4	1	05/12/26 03:37:39 PM	
140	900	1	1	05/12/26 03:37:40 PM	
141	900	7	1	05/12/26 03:37:41 PM	
142	900	3	1	05/12/26 03:37:42 PM	
143	900	3	1	05/12/26 03:37:43 PM	
144	900	4	1	05/12/26 03:37:44 PM	
145	900	1	1	05/12/26 03:37:46 PM	
146	900	3	1	05/12/26 03:37:47 PM	
147	900	3	1	05/12/26 03:37:48 PM	
148	900	3	1	05/12/26 03:37:49 PM	
149	900	2	1	05/12/26 03:37:50 PM	
150	900	3	1	05/12/26 03:37:51 PM	
151	900	2	1	05/12/26 03:37:52 PM	
152	900	2	1	05/12/26 03:37:54 PM	
153	900	5	1	05/12/26 03:37:55 PM	
154	900	3	1	05/12/26 03:37:56 PM	
155	900	3	1	05/12/26 03:37:57 PM	
156	900	2	1	05/12/26 03:37:58 PM	
157	900	6	1	05/12/26 03:37:59 PM	
158	900	5	1	05/12/26 03:38:00 PM	
159	900	4	1	05/12/26 03:38:02 PM	
160	900	2	1	05/12/26 03:38:03 PM	
161	900	2	1	05/12/26 03:38:04 PM	
162	900	6	1	05/12/26 03:38:05 PM	
163	900	3	1	05/12/26 03:38:06 PM	
164	900	4	1	05/12/26 03:38:07 PM	
165	900	4	1	05/12/26 03:38:08 PM	
166	900	3	1	05/12/26 03:38:10 PM	
167	900	5	1	05/12/26 03:38:11 PM	
168	900	4	1	05/12/26 03:38:12 PM	
169	900	6	1	05/12/26 03:38:13 PM	
170	900	3	1	05/12/26 03:38:14 PM	
171	900	2	1	05/12/26 03:38:15 PM	
172	900	2	1	05/12/26 03:38:16 PM	
173	900	3	1	05/12/26 03:38:18 PM	
174	900	4	1	05/12/26 03:38:19 PM	
