# System Information
# hostname: PHLAB4-100
# platform: Windows-11-10.0.26100-SP0
# experiment_date: 2026-06-16 16:44:49
# frequency: 950
# amplitude: 10.0

DateTime,Temp (C),RMS CH1 (V),RMS CH2 (V),Phase Shift (deg),Heater Voltage (V),Heater Current (A)
16/06/2026 16:16:29,45.08,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:16:30,45.14,1.8600,2.5800,166.6,50.00,0.599
16/06/2026 16:16:31,45.21,1.8600,2.5800,166.1,50.00,0.599
16/06/2026 16:16:32,45.39,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:33,45.59,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:34,45.79,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:35,45.99,1.8600,2.5800,166.1,50.00,0.599
16/06/2026 16:16:36,46.19,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:16:37,46.42,1.8600,2.5800,166.3,50.00,0.599
16/06/2026 16:16:38,46.66,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:39,46.91,1.8600,2.5800,166.6,50.00,0.599
16/06/2026 16:16:40,47.13,1.8600,2.5800,166.3,50.00,0.599
16/06/2026 16:16:41,47.37,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:16:42,47.64,1.8600,2.5800,166.5,50.00,0.599
16/06/2026 16:16:43,47.92,1.8600,2.5800,166.3,50.00,0.599
16/06/2026 16:16:44,48.18,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:45,48.43,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:46,48.73,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:47,49.03,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:16:48,49.34,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:49,49.64,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:16:50,49.93,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:51,50.26,1.8600,2.5800,166.1,50.00,0.599
16/06/2026 16:16:52,50.60,1.8600,2.5800,166.6,50.00,0.599
16/06/2026 16:16:53,50.93,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:54,51.25,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:16:55,51.57,1.8600,2.5800,166.6,50.00,0.599
16/06/2026 16:16:56,51.91,1.8600,2.5800,166.3,50.00,0.599
16/06/2026 16:16:57,52.26,1.8600,2.5800,166.3,50.00,0.599
16/06/2026 16:16:58,52.62,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:16:59,52.95,1.8600,2.5800,166.3,50.00,0.599
16/06/2026 16:17:00,53.29,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:17:01,53.63,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:17:02,54.01,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:17:03,54.38,1.8600,2.5800,166.4,50.00,0.599
16/06/2026 16:17:04,54.77,1.8600,2.5800,166.2,50.00,0.599
16/06/2026 16:17:05,55.12,1.8600,2.5800,166.2,50.00,0.599
