Core Type,Frequency (Hz),CH1 (V),CH2 (V)
VS0 (Air core),100,1.650000,0.524000
VS0 (Air core),125,1.670000,0.645000
VS0 (Air core),150,1.670000,0.757000
VS0 (Air core),175,1.680000,0.860000
VS0 (Air core),200,1.680000,0.953000
VS0 (Air core),225,1.680000,1.038000
VS0 (Air core),250,1.680000,1.115000
VS0 (Air core),275,1.680000,1.183000
VS0 (Air core),300,1.680000,1.244000
VS0 (Air core),325,1.680000,1.300000
VS0 (Air core),350,1.680000,1.350000
VS0 (Air core),375,1.670000,1.390000
VS0 (Air core),400,1.670000,1.430000
VS0 (Air core),425,1.670000,1.460000
VS0 (Air core),450,1.670000,1.490000
VS0 (Air core),475,1.670000,1.520000
VS0 (Air core),500,1.670000,1.540000
VS0 (Air core),525,1.660000,1.570000
VS0 (Air core),550,1.660000,1.590000
VS0 (Air core),575,1.660000,1.600000
VS0 (Air core),600,1.660000,1.620000
VS0 (Air core),625,1.660000,1.630000
VS0 (Air core),650,1.660000,1.650000
VS0 (Air core),675,1.660000,1.660000
VS0 (Air core),700,1.660000,1.670000
VS0 (Air core),725,1.660000,1.680000
VS0 (Air core),750,1.660000,1.690000
VS0 (Air core),775,1.660000,1.700000
VS0 (Air core),800,1.660000,1.710000
VS0 (Air core),825,1.660000,1.720000
VS0 (Air core),850,1.650000,1.720000
VS0 (Air core),875,1.650000,1.730000
VS0 (Air core),900,1.650000,1.740000
VS0 (Air core),925,1.650000,1.740000
VS0 (Air core),950,1.650000,1.750000
VS0 (Air core),975,1.650000,1.750000
VS0 (Air core),1000,1.650000,1.760000
VS0 (Air core),1025,1.650000,1.760000
VS0 (Air core),1050,1.650000,1.760000
VS0 (Air core),1075,1.650000,1.770000
VS0 (Air core),1100,1.650000,1.770000
VS0 (Air core),1125,1.650000,1.770000
VS0 (Air core),1150,1.650000,1.780000
VS0 (Air core),1175,1.650000,1.780000
VS0 (Air core),1200,1.650000,1.780000
VS0 (Air core),1225,1.650000,1.790000
VS0 (Air core),1250,1.650000,1.790000
VS0 (Air core),1275,1.650000,1.790000
VS0 (Air core),1300,1.650000,1.790000
VS0 (Air core),1325,1.650000,1.790000
VS0 (Air core),1350,1.650000,1.800000
VS0 (Air core),1375,1.650000,1.800000
VS0 (Air core),1400,1.650000,1.800000
VS0 (Air core),1425,1.650000,1.800000
VS0 (Air core),1450,1.650000,1.800000
VS0 (Air core),1475,1.650000,1.810000
VS0 (Air core),1500,1.650000,1.810000
VS0 (Air core),1525,1.650000,1.810000
VS0 (Air core),1550,1.650000,1.810000
VS0 (Air core),1575,1.650000,1.810000
VS0 (Air core),1600,1.650000,1.810000
VS0 (Air core),1625,1.650000,1.810000
VS0 (Air core),1650,1.650000,1.810000
VS0 (Air core),1675,1.650000,1.820000
VS0 (Air core),1700,1.650000,1.820000
VS0 (Air core),1725,1.650000,1.820000
VS0 (Air core),1750,1.650000,1.820000
VS0 (Air core),1775,1.650000,1.820000
VS0 (Air core),1800,1.650000,1.820000
VS0 (Air core),1825,1.650000,1.820000
VS0 (Air core),1850,1.650000,1.820000
VS0 (Air core),1875,1.650000,1.820000
VS0 (Air core),1900,1.650000,1.820000
VS0 (Air core),1925,1.650000,1.820000
VS0 (Air core),1950,1.650000,1.820000
VS0 (Air core),1975,1.650000,1.830000
VS0 (Air core),2000,1.650000,1.830000
VS0 (Air core),2025,1.650000,1.830000
VS0 (Air core),2050,1.650000,1.830000
