# Press Shift+Enter to add data
# Press Ctrl+S to save

T(°C)	Uh(mV)	Up(mV)
138.9	-3	441
137.4	-3	440
138.9	-3	443
138.9	-3	443
137.9	-3	441
138.7	-3	445
138.7	-3	445
138.5	-3	446
138.6	-3	447
137.6	-3	447
137.3	-3	448
137.0	-3	448
136.5	-3	449
137.2	-3	453
136.9	-3	452
137.0	-3	454
135.8	-3	455
136.4	-3	457
137.0	-3	459
136.4	-3	460
136.8	-3	461
135.0	-3	460
135.7	-3	463
135.3	-3	468
135.3	-3	468
135.3	-3	468
135.3	-3	468
135.3	-3	468
135.3	-3	469
135.3	-3	469
135.3	-3	469
135.3	-3	469
135.3	-3	469
135.8	-3	472
135.8	-3	472
135.8	-3	472
135.8	-3	472
135.8	-3	472
134.8	-3	471
134.8	-3	471
134.8	-3	471
134.8	-3	471
135.1	-3	473
135.1	-3	473
135.1	-3	473
135.1	-3	473
135.1	-3	473
134.6	-3	476
134.6	-3	476
134.6	-3	476
134.6	-3	476
134.6	-3	476
134.7	-3	477
134.7	-3	477
134.7	-3	477
134.7	-3	477
135.0	-3	478
135.0	-3	478
135.0	-3	478
135.0	-3	478
134.5	-3	478
134.5	-3	478
134.5	-3	478
134.5	-3	478
134.5	-3	478
133.7	-3	480
133.7	-3	480
133.7	-3	480
133.7	-3	480
134.5	-3	482
134.5	-3	482
134.4	-3	484
133.5	-3	486
133.6	-3	488
133.8	-3	489
133.4	-3	490
134.0	-3	494
132.5	-3	493
132.9	-3	494
132.6	-3	501
132.6	-3	501
132.6	-3	501
132.1	-3	502
132.1	-3	502
132.1	-3	502
132.1	-3	502
131.7	-3	503
131.7	-3	503
131.7	-3	503
131.7	-3	503
131.7	-3	503
132.5	-3	505
132.5	-3	505
132.5	-3	505
132.5	-3	505
132.7	-3	508
132.7	-3	508
132.7	-3	508
132.7	-3	508
132.7	-3	508
132.1	-3	507
132.1	-3	507
132.1	-3	507
132.1	-3	507
131.7	-3	511
131.7	-3	511
131.7	-3	511
131.7	-3	511
131.7	-3	511
132.0	-3	513
132.0	-3	513
132.0	-3	513
132.0	-3	513
132.0	-3	513
131.1	-3	513
131.1	-3	513
131.1	-3	513
131.1	-3	513
131.1	-3	513
131.8	-3	516
131.8	-3	516
131.8	-3	516
131.8	-3	516
131.4	-3	516
131.4	-3	516
131.4	-3	516
131.4	-3	516
131.4	-3	516
131.0	-3	519
131.0	-3	519
131.0	-3	519
131.0	-3	519
131.0	-3	519
131.6	-3	521
131.6	-3	521
131.6	-3	521
131.6	-3	521
130.9	-3	523
130.9	-3	523
130.9	-3	523
130.9	-3	523
130.9	-3	523
131.1	-3	525
131.1	-3	525
131.1	-3	525
131.1	-3	525
131.0	-3	526
131.0	-3	526
131.0	-3	526
131.0	-3	526
131.0	-3	526
130.0	-3	528
130.0	-3	528
130.0	-3	528
130.0	-3	528
130.0	-3	528
129.9	-3	529
129.9	-3	529
129.9	-3	529
129.9	-3	529
131.0	-3	532
131.0	-3	532
131.0	-3	532
131.0	-3	532
131.0	-3	532
130.5	-3	535
130.5	-3	535
130.5	-3	535
130.5	-3	535
130.5	-3	535
130.0	-3	536
130.0	-3	536
130.0	-3	536
130.0	-3	536
130.0	-3	539
130.0	-3	539
130.0	-3	539
130.0	-3	539
129.6	-3	539
129.6	-3	539
129.6	-3	539
129.6	-3	539
129.6	-3	539
129.4	-3	540
129.4	-3	540
129.4	-3	540
129.4	-3	540
129.4	-3	540
129.8	-3	543
129.8	-3	543
129.8	-3	543
129.8	-3	543
129.6	-3	546
129.6	-3	546
129.6	-3	546
129.6	-3	546
129.6	-3	546
130.2	-3	547
130.2	-3	547
130.2	-3	547
130.2	-3	547
130.2	-3	547
129.2	-3	549
129.2	-3	549
129.2	-3	549
129.2	-3	549
129.1	-3	550
129.1	-3	550
129.1	-3	550
129.1	-3	550
129.1	-3	550
129.3	-3	553
129.3	-3	553
129.3	-3	553
129.3	-3	553
129.3	-3	553
129.3	-3	553
128.8	-3	556
128.8	-3	556
128.8	-3	556
128.8	-3	556
128.3	-3	557
128.3	-3	557
128.3	-3	557
128.3	-3	557
128.3	-3	557
129.5	-3	560
129.5	-3	560
129.5	-3	560
129.5	-3	560
129.5	-3	560
128.8	-3	562
128.8	-3	562
128.8	-3	562
128.8	-3	562
128.4	-3	564
128.4	-3	564
128.4	-3	564
128.4	-3	564
128.9	-3	566
128.9	-3	566
128.9	-3	566
128.9	-3	566
128.9	-3	566
128.0	-3	566
128.0	-3	566
128.0	-3	566
128.0	-3	566
127.2	-3	568
127.2	-3	568
127.2	-3	568
127.2	-3	568
127.2	-3	568
128.3	-3	572
128.3	-3	572
128.3	-3	572
128.3	-3	572
128.3	-3	572
127.7	-3	574
127.7	-3	574
127.7	-3	574
127.7	-3	574
127.3	-3	575
127.3	-3	575
127.3	-3	575
127.3	-3	575
127.7	-3	578
127.7	-3	578
127.7	-3	578
127.7	-3	578
127.7	-3	578
127.4	-3	580
127.4	-3	580
127.4	-3	580
127.4	-3	580
127.4	-3	580
127.8	-3	582
127.8	-3	582
127.8	-3	582
127.8	-3	582
127.8	-3	582
127.1	-3	584
127.1	-3	584
127.1	-3	584
127.1	-3	584
127.2	-3	586
127.2	-3	586
127.2	-3	586
127.2	-3	586
127.2	-3	586
126.4	-3	588
126.4	-3	588
126.4	-3	588
126.4	-3	588
126.4	-3	588
126.6	-3	590
126.6	-3	590
126.6	-3	590
126.6	-3	590
126.5	-3	592
126.5	-3	592
126.5	-3	592
126.5	-3	592
126.2	-3	595
126.2	-3	595
126.2	-3	595
126.2	-3	595
126.2	-3	595
126.6	-3	596
126.6	-3	596
126.6	-3	596
126.6	-3	596
126.6	-3	596
126.1	-3	599
126.1	-3	599
126.1	-3	599
126.1	-3	599
126.1	-3	599
126.6	-3	602
126.6	-3	602
126.6	-3	602
126.6	-3	602
125.9	-3	604
125.9	-3	604
125.9	-3	604
125.9	-3	604
125.9	-3	604
125.5	-3	605
125.5	-3	605
125.5	-3	605
125.5	-3	605
125.6	-3	608
125.6	-3	608
125.6	-3	608
125.6	-3	608
125.6	-3	608
125.6	-3	610
125.6	-3	610
125.6	-3	610
125.6	-3	610
125.6	-3	610
125.4	-3	612
125.4	-3	612
125.4	-3	612
125.4	-3	612
125.3	-3	614
125.3	-3	614
125.3	-3	614
125.3	-3	614
125.3	-3	614
125.2	-3	617
125.2	-3	617
125.2	-3	617
125.2	-3	617
124.9	-3	619
124.9	-3	619
124.9	-3	619
124.9	-3	619
124.9	-3	619
125.0	-3	621
125.0	-3	621
125.0	-3	621
125.0	-3	621
124.6	-3	623
124.6	-3	623
124.6	-3	623
124.6	-3	623
124.6	-3	623
125.0	-3	627
125.0	-3	627
125.0	-3	627
125.0	-3	627
125.0	-3	627
124.5	-3	629
124.5	-3	629
124.5	-3	629
124.5	-3	629
124.5	-3	629
124.3	-3	630
124.3	-3	630
124.3	-3	630
124.3	-3	630
124.2	-3	634
124.2	-3	634
124.2	-3	634
124.2	-3	634
124.2	-3	634
124.0	-3	636
124.0	-3	636
124.0	-3	636
124.0	-3	636
124.0	-3	636
124.2	-3	638
124.2	-3	638
124.2	-3	638
124.2	-3	638
124.2	-3	638
123.8	-3	640
123.8	-3	640
123.8	-3	640
123.8	-3	640
123.8	-3	640
123.7	-3	643
123.7	-3	643
123.7	-3	643
123.7	-3	643
123.4	-3	646
123.4	-3	646
123.4	-3	646
123.4	-3	646
123.4	-3	646
123.3	-3	647
123.3	-3	647
123.3	-3	647
123.3	-3	647
123.3	-3	647
123.5	-3	651
123.5	-3	651
123.5	-3	651
123.5	-3	651
123.1	-3	653
123.1	-3	653
123.1	-3	653
123.1	-3	653
123.1	-3	653
123.2	-3	655
123.2	-3	655
123.2	-3	655
123.2	-3	655
122.8	-3	658
122.8	-3	658
122.8	-3	658
122.8	-3	658
122.8	-3	658
122.7	-3	660
122.7	-3	660
122.7	-3	660
122.7	-3	660
122.7	-3	660
122.4	-3	662
122.4	-3	662
122.4	-3	662
122.4	-3	662
122.3	-3	665
122.3	-3	665
122.3	-3	665
122.3	-3	665
122.3	-3	665
122.4	-3	668
122.4	-3	668
122.4	-3	668
122.4	-3	668
122.4	-3	668
121.9	-3	670
121.9	-3	670
121.9	-3	670
121.9	-3	670
121.8	-3	673
121.8	-3	673
121.8	-3	673
121.8	-3	673
122.2	-3	675
122.2	-3	675
122.2	-3	675
122.2	-3	675
122.2	-3	675
121.9	-3	678
121.9	-3	678
121.9	-3	678
121.9	-3	678
121.9	-3	678
121.9	-3	681
121.9	-3	681
121.9	-3	681
121.9	-3	681
121.9	-3	681
121.8	-3	682
121.8	-3	682
121.8	-3	682
121.8	-3	682
121.2	-3	685
121.2	-3	685
121.2	-3	685
121.2	-3	685
121.2	-3	685
121.3	-3	688
121.3	-3	688
121.3	-3	688
121.3	-3	688
121.3	-3	688
120.9	-3	690
120.9	-3	690
120.9	-3	690
120.9	-3	690
120.9	-3	693
120.9	-3	693
120.9	-3	693
120.9	-3	693
120.9	-3	693
120.7	-3	695
120.7	-3	695
120.7	-3	695
120.7	-3	695
120.7	-3	695
121.0	-3	698
121.0	-3	698
121.0	-3	698
121.0	-3	698
120.2	-3	701
120.2	-3	701
120.2	-3	701
120.2	-3	701
120.2	-3	701
120.3	-3	704
120.3	-3	704
120.3	-3	704
120.3	-3	704
120.3	-3	704
120.1	-3	706
120.1	-3	706
120.1	-3	706
120.1	-3	706
120.1	-3	706
120.2	-3	709
120.2	-3	709
120.2	-3	709
120.2	-3	709
119.9	-3	712
119.9	-3	712
119.9	-3	712
119.9	-3	712
119.9	-3	712
119.8	-3	714
119.8	-3	714
119.8	-3	714
119.8	-3	714
119.8	-3	714
119.4	-3	717
119.4	-3	717
119.4	-3	717
119.4	-3	717
119.7	-3	720
119.7	-3	720
119.7	-3	720
119.7	-3	720
119.4	-3	723
119.4	-3	723
119.4	-3	723
119.4	-3	723
119.4	-3	723
119.5	-3	724
119.5	-3	724
119.5	-3	724
119.5	-3	724
119.5	-3	724
118.9	-3	728
118.9	-3	728
118.9	-3	728
118.9	-3	728
118.9	-3	731
118.9	-3	731
118.9	-3	731
118.9	-3	731
119.0	-3	734
119.0	-3	734
119.0	-3	734
119.0	-3	734
119.0	-3	734
119.0	-3	736
119.0	-3	736
119.0	-3	736
119.0	-3	736
119.0	-3	736
118.8	-3	739
118.8	-3	739
118.8	-3	739
118.8	-3	739
118.4	-3	742
118.4	-3	742
118.4	-3	742
118.4	-3	742
118.4	-3	742
118.4	-3	745
118.4	-3	745
118.4	-3	745
118.4	-3	745
118.4	-3	745
118.2	-3	747
118.2	-3	747
118.2	-3	747
118.2	-3	747
118.2	-3	747
118.5	-3	750
118.5	-3	750
118.5	-3	750
118.5	-3	750
117.9	-3	753
117.9	-3	753
117.9	-3	753
117.9	-3	753
117.9	-3	753
118.8	-3	756
118.8	-3	756
118.8	-3	756
118.8	-3	756
117.8	-3	759
117.8	-3	759
117.8	-3	759
