# Press Shift+Enter to add data
# Press Ctrl+S to save

#T(°C)	Uh(mV)	Up(mV)

139.6	-8	365
139.1	-8	365
139.1	-8	365
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.1	-8	366
139.1	-8	366
139.1	-8	366
139.1	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	366
139.2	-8	367
139.2	-8	367
139.2	-8	367
139.2	-8	367
138.9	-8	367
138.9	-8	367
138.9	-8	367
138.9	-8	367
138.9	-8	367
139.3	-8	368
139.3	-8	368
139.3	-8	368
139.3	-8	368
139.3	-8	368
138.5	-8	369
138.5	-8	369
138.5	-8	369
138.5	-8	369
138.7	-8	369
138.7	-8	369
138.7	-8	369
138.7	-8	369
138.7	-8	369
139.0	-8	369
139.0	-8	369
139.0	-8	369
139.0	-8	369
139.0	-8	369
138.6	-8	370
138.6	-8	370
138.6	-8	370
138.6	-8	370
138.6	-8	371
138.6	-8	371
138.6	-8	371
138.6	-8	371
138.6	-8	371
138.5	-8	371
138.5	-8	371
138.5	-8	371
138.5	-8	371
138.2	-8	372
138.2	-8	372
138.2	-8	372
138.2	-8	372
138.2	-8	372
138.0	-8	373
138.0	-8	373
138.0	-8	373
138.0	-8	373
138.0	-8	373
137.9	-8	374
137.9	-8	374
137.9	-8	374
137.9	-8	374
138.0	-8	375
138.0	-8	375
138.0	-8	375
138.0	-8	375
138.0	-8	375
137.6	-8	375
137.6	-8	375
137.6	-8	375
137.6	-8	375
137.8	-8	376
137.8	-8	376
137.8	-8	376
137.8	-8	376
137.8	-8	376
137.7	-8	376
137.7	-8	376
137.7	-8	376
137.7	-8	376
137.7	-8	376
137.5	-8	378
137.5	-8	378
137.5	-8	378
137.5	-8	378
137.5	-8	379
137.5	-8	379
137.5	-8	379
137.5	-8	379
137.5	-8	379
137.6	-8	379
137.6	-8	379
137.6	-8	379
137.6	-8	379
137.6	-8	379
136.9	-8	381
136.9	-8	381
136.9	-8	381
136.9	-8	381
136.6	-8	382
136.6	-8	382
136.6	-8	382
136.6	-8	382
136.8	-8	382
136.8	-8	382
136.8	-8	382
136.8	-8	382
136.8	-8	382
136.8	-8	384
136.8	-8	384
136.8	-8	384
136.8	-8	384
136.8	-8	384
136.7	-8	384
136.7	-8	384
136.7	-8	384
136.7	-8	384
136.7	-8	384
136.3	-8	386
136.3	-8	386
136.3	-8	386
136.3	-8	386
136.0	-8	386
136.0	-8	386
136.0	-8	386
136.0	-8	386
136.0	-8	386
136.0	-8	387
136.0	-8	387
136.0	-8	387
136.0	-8	387
136.3	-8	388
136.3	-8	388
136.3	-8	388
136.3	-8	388
136.3	-8	388
136.0	-8	389
136.0	-8	389
136.0	-8	389
136.0	-8	389
136.0	-8	389
135.6	-8	390
135.6	-8	390
135.6	-8	390
135.6	-8	390
135.9	-8	391
135.9	-8	391
135.9	-8	391
135.9	-8	391
135.4	-8	393
135.4	-8	393
135.4	-8	393
135.4	-8	393
135.4	-8	393
135.3	-8	394
135.3	-8	394
135.3	-8	394
135.3	-8	394
135.3	-8	394
135.2	-8	396
135.2	-8	396
135.2	-8	396
135.2	-8	396
135.2	-8	396
135.4	-8	396
135.4	-8	396
135.4	-8	396
135.4	-8	396
135.2	-8	398
135.2	-8	398
135.2	-8	398
135.2	-8	398
135.2	-8	398
135.1	-8	399
135.1	-8	399
135.1	-8	399
135.1	-8	399
135.1	-8	399
135.1	-8	400
135.1	-8	400
135.1	-8	400
135.1	-8	400
135.1	-8	400
134.9	-8	401
134.9	-8	401
134.9	-8	401
134.9	-8	401
133.9	-8	403
133.9	-8	403
133.9	-8	403
133.9	-8	403
133.9	-8	403
134.5	-8	403
134.5	-8	403
134.5	-8	403
134.5	-8	403
134.0	-9	405
134.0	-9	405
134.0	-9	405
134.0	-9	405
134.0	-9	405
134.3	-9	407
134.3	-9	407
134.3	-9	407
134.3	-9	407
134.3	-9	407
133.8	-9	408
133.8	-9	408
133.8	-9	408
133.8	-9	408
133.7	-9	408
133.7	-9	408
133.7	-9	408
133.7	-9	408
133.7	-9	408
133.1	-9	410
133.1	-9	410
