Time(s),CHAN1(V),CHAN2(V)
-0.025000,-0.750219,-0.009799
-0.024997,-0.730118,-0.009799
-0.024994,-0.750219,-0.009799
-0.024990,-0.750219,-0.029900
-0.024987,-0.750219,-0.009799
-0.024984,-0.750219,-0.009799
-0.024981,-0.750219,-0.029900
-0.024978,-0.750219,-0.009799
-0.024974,-0.750219,-0.029900
-0.024971,-0.750219,-0.029900
-0.024968,-0.730118,-0.029900
-0.024965,-0.750219,-0.050000
-0.024962,-0.750219,-0.050000
-0.024958,-0.730118,-0.050000
-0.024955,-0.750219,-0.050000
-0.024952,-0.730118,-0.050000
-0.024949,-0.750219,-0.050000
-0.024946,-0.730118,-0.029900
-0.024942,-0.750219,-0.029900
-0.024939,-0.730118,-0.029900
-0.024936,-0.730118,-0.009799
-0.024933,-0.730118,-0.029900
-0.024930,-0.750219,-0.029900
-0.024926,-0.730118,-0.029900
-0.024923,-0.750219,-0.009799
-0.024920,-0.750219,-0.029900
-0.024917,-0.750219,-0.029900
-0.024914,-0.730118,-0.029900
-0.024910,-0.730118,-0.029900
-0.024907,-0.730118,-0.029900
-0.024904,-0.730118,-0.029900
-0.024901,-0.730118,-0.029900
-0.024898,-0.750219,-0.029900
-0.024894,-0.730118,-0.029900
-0.024891,-0.730118,-0.029900
-0.024888,-0.750219,-0.029900
-0.024885,-0.730118,-0.029900
-0.024882,-0.730118,-0.029900
-0.024878,-0.730118,-0.029900
-0.024875,-0.730118,-0.029900
-0.024872,-0.750219,-0.029900
-0.024869,-0.730118,-0.029900
-0.024866,-0.730118,-0.009799
-0.024862,-0.730118,-0.029900
-0.024859,-0.750219,-0.009799
-0.024856,-0.730118,-0.029900
-0.024853,-0.730118,-0.009799
-0.024850,-0.730118,-0.029900
-0.024846,-0.730118,-0.029900
-0.024843,-0.730118,-0.029900
-0.024840,-0.730118,-0.029900
-0.024837,-0.750219,-0.029900
-0.024834,-0.730118,-0.009799
-0.024830,-0.750219,-0.029900
-0.024827,-0.730118,-0.029900
-0.024824,-0.730118,-0.029900
-0.024821,-0.730118,-0.050000
-0.024818,-0.730118,-0.029900
-0.024814,-0.730118,-0.029900
-0.024811,-0.730118,-0.029900
-0.024808,-0.730118,-0.029900
-0.024805,-0.730118,-0.029900
-0.024802,-0.730118,-0.029900
-0.024798,-0.730118,-0.029900
-0.024795,-0.730118,-0.029900
-0.024792,-0.730118,-0.050000
-0.024789,-0.730118,-0.029900
-0.024786,-0.730118,-0.029900
-0.024782,-0.730118,-0.070101
-0.024779,-0.730118,-0.050000
-0.024776,-0.730118,-0.050000
-0.024773,-0.730118,-0.029900
-0.024770,-0.730118,-0.050000
-0.024766,-0.730118,-0.050000
-0.024763,-0.730118,-0.050000
-0.024760,-0.730118,-0.050000
-0.024757,-0.730118,-0.050000
-0.024754,-0.730118,-0.050000
-0.024750,-0.730118,-0.050000
-0.024747,-0.730118,-0.070101
-0.024744,-0.730118,-0.050000
