X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	709
3.1	613
3.2	497
3.3	449
3.4	342
3.5	329
3.6	270
3.7	270
3.8	241
3.9	226
4.0	195
4.1	189
4.2	178
4.3	153
4.4	156
4.5	137
4.6	135
4.7	121
4.8	137
4.9	126
5.0	108
5.1	128
5.2	129
5.3	118
5.4	140
5.5	268
5.6	248
5.7	182
5.8	145
5.9	142
6.0	149
6.1	284
6.2	773
6.3	763
6.4	449
6.5	225
6.6	159
6.7	167
6.8	156
6.9	143
7.0	184
7.1	163
7.2	167
7.3	177
7.4	158
7.5	177
7.6	170
7.7	169
7.8	170
7.9	165
8.0	168
8.1	243
8.2	302
8.3	303
8.4	310
8.5	317
8.6	323
8.7	316
8.8	298
8.9	308
9.0	300
9.1	298
9.2	311
9.3	317
9.4	298
9.5	304
9.6	282
9.7	291
9.8	296
9.9	309
10.0	284
10.1	294
10.2	290
10.3	291
10.4	264
10.5	280
10.6	282
10.7	283
10.8	253
10.9	248
11.0	262
11.1	279
11.2	265
11.3	249
11.4	265
11.5	274
11.6	252
11.7	238
11.8	235
11.9	233
12.0	209
12.1	216
12.2	227
12.3	259
12.4	308
12.5	427
12.6	335
12.7	254
12.8	198
12.9	191
13.0	173
13.1	215
13.2	191
13.3	184
13.4	160
13.5	186
13.6	179
13.7	177
13.8	157
13.9	172
14.0	149
14.1	143
14.2	154
14.3	141
14.4	139
14.5	124
14.6	140
14.7	146
14.8	140
14.9	143
15.0	134
15.1	126
15.2	118
15.3	127
15.4	110
15.5	109
15.6	112
15.7	117
15.8	117
15.9	103
16.0	100
16.1	111
16.2	113
16.3	127
16.4	126
16.5	115
16.6	117
16.7	125
16.8	123
16.9	126
17.0	129
17.1	120
17.2	116
17.3	126
17.4	141
17.5	117
17.6	107
17.7	126
17.8	112
17.9	114
18.0	109
18.1	125
18.2	109
18.3	106
18.4	118
18.5	106
18.6	104
18.7	116
18.8	141
18.9	164
19.0	160
19.1	136
19.2	123
19.3	116
19.4	119
19.5	102
19.6	94
19.7	119
19.8	104
19.9	103
20.0	104
20.1	106
20.2	106
20.3	127
20.4	117
20.5	115
20.6	112
20.7	94
20.8	108
20.9	99
21.0	96
21.1	104
21.2	115
21.3	120
21.4	108
21.5	97
21.6	99
21.7	113
21.8	100
21.9	102
22.0	104
22.1	96
22.2	99
22.3	108
22.4	113
22.5	105
22.6	114
22.7	110
22.8	109
22.9	93
23.0	105
23.1	104
23.2	109
23.3	110
23.4	110
23.5	111
23.6	103
23.7	102
23.8	110
23.9	107
24.0	96
24.1	98
24.2	108
24.3	91
24.4	93
24.5	91
24.6	87
24.7	89
24.8	90
24.9	99
25.0	102
25.1	100
25.2	108
25.3	112
25.4	106
25.5	117
25.6	119
25.7	108
25.8	110
25.9	102
26.0	100
26.1	103
26.2	108
26.3	94
26.4	118
26.5	93
26.6	112
26.7	105
26.8	94
26.9	85
27.0	96
27.1	100
27.2	104
27.3	95
27.4	103
27.5	98
27.6	90
27.7	97
27.8	101
27.9	103
28.0	97
28.1	94
28.2	100
28.3	108
28.4	105
28.5	85
28.6	90
28.7	97
28.8	95
28.9	87
29.0	99
29.1	95
29.2	107
29.3	94
29.4	105
29.5	108
29.6	94
29.7	91
29.8	102
29.9	91
30.0	91
30.1	102
30.2	95
30.3	101
30.4	92
30.5	88
30.6	85
30.7	88
30.8	99
30.9	92
31.0	92
31.1	89
31.2	85
31.3	113
31.4	107
31.5	95
31.6	91
31.7	105
31.8	98
31.9	95
32.0	100
32.1	104
32.2	103
32.3	89
32.4	103
32.5	105
32.6	109
32.7	95
32.8	99
32.9	105
33.0	106
33.1	100
33.2	98
33.3	94
33.4	104
33.5	104
33.6	91
33.7	102
33.8	99
33.9	99
34.0	96
34.1	80
34.2	101
34.3	94
34.4	95
34.5	103
34.6	105
34.7	95
34.8	101
34.9	104
35.0	108
35.1	95
35.2	101
35.3	106
35.4	99
35.5	105
35.6	88
35.7	97
35.8	83
35.9	95
36.0	90
36.1	99
36.2	96
36.3	125
36.4	94
36.5	91
36.6	95
36.7	97
36.8	87
36.9	97
37.0	89
37.1	96
37.2	107
37.3	94
37.4	103
37.5	90
37.6	105
37.7	107
37.8	102
37.9	100
38.0	97
38.1	98
38.2	110
38.3	99
38.4	85
38.5	91
38.6	97
38.7	110
38.8	97
38.9	106
39.0	106
