Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle θ_d	X-ray (ID 01) / Crystal angle θ_c
t/s	Imp/# / s	U/kV	I/mA	θ_d/°	θ_c/°

0.00	11979	35.0	1.00	6.0	3.0
2.00	11957	35.0	1.00	6.2	3.1
4.00	11991	35.0	1.00	6.4	3.2
6.00	12018	35.0	1.00	6.6	3.3
8.00	12066	35.0	1.00	6.8	3.4
10.00	12110	35.0	1.00	7.0	3.5
12.00	12202	35.0	1.00	7.2	3.6
14.00	12291	35.0	1.00	7.4	3.7
16.00	12338	35.0	1.00	7.6	3.8
18.00	12377	35.0	1.00	7.8	3.9
20.00	12487	35.0	1.00	8.0	4.0
22.00	12543	35.0	1.00	8.2	4.1
24.00	12478	35.0	1.00	8.4	4.2
26.00	12204	35.0	1.00	8.6	4.3
28.00	11620	35.0	1.00	8.8	4.4
30.00	10671	35.0	1.00	9.0	4.5
32.00	9499	35.0	1.00	9.2	4.6
34.00	8207	35.0	1.00	9.4	4.7
36.00	7067	35.0	1.00	9.6	4.8
38.00	5748	35.0	1.00	9.8	4.9
40.00	4684	35.0	1.00	10.0	5.0
42.00	4157	35.0	1.00	10.2	5.1
44.00	3698	35.0	1.00	10.4	5.2
46.00	3331	35.0	1.00	10.6	5.3
48.00	2975	35.0	1.00	10.8	5.4
50.00	2687	35.0	1.00	11.0	5.5
52.00	2411	35.0	1.00	11.2	5.6
54.00	2085	35.0	1.00	11.4	5.7
56.00	1900	35.0	1.00	11.6	5.8
58.00	1753	35.0	1.00	11.8	5.9
60.00	1589	35.0	1.00	12.0	6.0
62.00	1577	35.0	1.00	12.2	6.1
64.00	1492	35.0	1.00	12.4	6.2
66.00	1413	35.0	1.00	12.6	6.3
68.00	1400	35.0	1.00	12.8	6.4
70.00	1346	35.0	1.00	13.0	6.5
72.00	1238	35.0	1.00	13.2	6.6
74.00	1207	35.0	1.00	13.4	6.7
76.00	1191	35.0	1.00	13.6	6.8
78.00	1160	35.0	1.00	13.8	6.9
80.00	1142	35.0	1.00	14.0	7.0
82.00	1079	35.0	1.00	14.2	7.1
84.00	1027	35.0	1.00	14.4	7.2
86.00	1043	35.0	1.00	14.6	7.3
88.00	1016	35.0	1.00	14.8	7.4
90.00	988	35.0	1.00	15.0	7.5
92.00	964	35.0	1.00	15.2	7.6
94.00	1000	35.0	1.00	15.4	7.7
96.00	934	35.0	1.00	15.6	7.8
98.00	954	35.0	1.00	15.8	7.9
100.00	907	35.0	1.00	16.0	8.0
102.00	908	35.0	1.00	16.2	8.1
104.00	923	35.0	1.00	16.4	8.2
106.00	899	35.0	1.00	16.6	8.3
108.00	913	35.0	1.00	16.8	8.4
