# Bragg angle (deg)	Intensity (cps)
3.00	0.0
3.10	6.0
3.20	11.3
3.30	15.6
3.40	21.2
3.50	26.3
3.60	32.6
3.70	36.2
3.80	47.4
3.90	48.4
4.00	57.7
4.10	62.4
4.20	62.4
4.30	67.7
4.40	74.8
4.50	80.4
4.60	78.2
4.70	89.2
4.80	92.2
4.90	99.1
5.00	96.7
5.10	106.4
5.20	127.8
5.30	178.8
5.40	231.4
5.50	265.5
5.60	240.6
5.70	188.7
5.80	181.1
5.90	253.0
6.00	446.1
6.10	676.8
6.20	732.4
6.30	564.5
6.40	339.9
6.50	209.8
6.60	168.8
6.70	158.8
6.80	158.7
6.90	159.6
7.00	160.4
7.10	167.6
7.20	171.8
7.30	174.7
7.40	174.5
7.50	173.5
7.60	184.2
7.70	186.2
7.80	188.0
7.90	185.8
8.00	191.8
8.10	551.5
8.20	562.6
8.30	564.7
8.40	572.6
8.50	579.6
8.60	583.6
8.70	589.0
8.80	593.4
8.90	598.4
9.00	602.9
9.10	609.6
9.20	613.8
9.30	619.5
9.40	624.7
9.50	629.8
9.60	634.7
9.70	639.0
9.80	647.2
9.90	646.5
10.00	648.0
10.10	652.0
10.20	660.2
10.30	666.3
10.40	672.1
10.50	675.5
10.60	677.9
10.70	681.7
10.80	697.4
10.90	719.0
11.00	738.0
11.10	739.3
11.20	729.9
11.30	714.3
11.40	707.3
11.50	711.4
11.60	713.5
11.70	716.6
11.80	716.8
11.90	722.2
12.00	724.2
12.10	747.7
12.20	804.2
12.30	886.0
12.40	945.5
12.50	917.1
12.60	838.2
12.70	776.7
12.80	755.7
12.90	744.7
13.00	749.3
13.10	747.3
13.20	754.3
13.30	758.2
13.40	760.8
13.50	760.0
13.60	759.9
13.70	764.3
13.80	768.7
13.90	767.7
14.00	767.6
14.10	774.5
14.20	770.5
14.30	772.5
14.40	779.6
14.50	778.4
14.60	780.5
14.70	787.9
14.80	787.7
14.90	786.3
15.00	787.0
15.10	790.2
15.20	793.8
15.30	795.4
15.40	796.1
15.50	797.0
15.60	801.1
15.70	803.0
15.80	803.9
15.90	809.2
16.00	802.5
16.10	805.0
16.20	808.6
16.30	810.7
16.40	814.2
16.50	815.7
16.60	832.3
16.70	842.1
16.80	837.4
16.90	827.3
17.00	821.1
17.10	817.6
17.20	815.6
17.30	815.0
17.40	818.8
17.50	816.8
17.60	824.0
17.70	818.7
17.80	825.5
17.90	823.2
18.00	823.6
18.10	829.0
18.20	831.0
18.30	822.8
18.40	830.7
18.50	838.2
18.60	879.7
18.70	917.4
18.80	941.7
18.90	929.2
19.00	883.6
19.10	852.0
19.20	838.0
19.30	833.7
19.40	833.5
19.50	833.4
19.60	838.5
19.70	839.2
19.80	834.7
19.90	837.7
20.00	835.8
20.10	834.7
20.20	841.8
20.30	843.3
20.40	837.1
20.50	837.9
20.60	838.4
20.70	845.9
20.80	841.2
20.90	847.1
21.00	841.7
21.10	843.8
21.20	842.5
21.30	846.6
21.40	843.1
21.50	850.1
21.60	846.8
21.70	847.1
21.80	844.9
21.90	847.2
22.00	854.5
22.10	848.9
22.20	855.0
22.30	855.5
22.40	862.7
22.50	867.0
22.60	867.4
22.70	861.0
22.80	853.7
22.90	849.3
23.00	852.8
23.10	850.8
23.20	847.0
23.30	851.1
23.40	850.3
23.50	853.4
23.60	853.6
23.70	851.0
23.80	850.3
23.90	853.9
24.00	851.6
24.10	850.6
24.20	850.5
24.30	855.8
24.40	851.2
24.50	857.4
24.60	852.1
24.70	851.4
24.80	852.0
24.90	856.7
25.00	862.3
25.10	860.3
25.20	870.3
25.30	899.1
25.40	923.5
25.50	930.2
25.60	904.1
25.70	874.6
25.80	864.1
25.90	852.7
26.00	858.0
26.10	849.2
26.20	852.1
26.30	857.5
26.40	854.3
26.50	854.7
26.60	854.6
26.70	852.7
26.80	849.8
26.90	852.4
27.00	853.4
27.10	853.5
27.20	854.5
27.30	857.9
27.40	851.3
27.50	855.0
27.60	849.2
27.70	850.9
27.80	853.9
27.90	851.5
28.00	850.6
28.10	853.5
28.20	853.2
28.30	850.6
28.40	857.3
