# Bragg angle (deg)	Intensity (cps)
3.00	0.0
3.10	0.0
3.20	0.0
3.30	0.0
3.40	15.2
3.50	11.0
3.60	9.1
3.70	6.5
3.80	0.0
3.90	0.0
4.00	14.8
4.10	1.1
4.20	0.0
4.30	0.0
4.40	15.4
4.50	25.8
4.60	11.4
4.70	18.3
4.80	0.0
4.90	0.0
5.00	0.0
5.10	82.4
5.20	198.9
5.30	353.8
5.40	482.8
5.50	565.5
5.60	719.7
5.70	861.2
5.80	983.1
5.90	1127.5
6.00	1223.8
6.10	1330.1
6.20	1439.6
6.30	1568.5
6.40	1690.8
6.50	1792.3
6.60	1895.2
6.70	1979.9
6.80	2111.5
6.90	2217.6
7.00	2307.8
7.10	2407.4
7.20	2533.1
7.30	2629.6
7.40	2695.6
7.50	2807.2
7.60	2885.9
7.70	2991.4
7.80	3073.9
7.90	3137.3
8.00	3250.5
8.10	3348.2
8.20	3445.8
8.30	3509.3
8.40	3594.9
8.50	3656.3
8.60	3752.7
8.70	3827.7
8.80	3913.1
8.90	3969.7
9.00	4067.9
9.10	4133.6
9.20	4218.3
9.30	4274.5
9.40	4339.7
9.50	4444.3
9.60	4487.4
9.70	4591.7
9.80	4631.1
9.90	4693.8
10.00	4774.0
10.10	4879.3
10.20	4918.7
10.30	4986.3
10.40	5037.3
10.50	5114.8
10.60	5187.6
10.70	5215.9
10.80	5290.5
10.90	5364.6
11.00	5398.0
11.10	5452.4
11.20	5511.1
11.30	5599.3
11.40	5616.0
11.50	5698.2
11.60	5713.6
11.70	5811.5
11.80	5867.3
11.90	5903.3
12.00	5979.0
12.10	6019.7
12.20	6092.7
12.30	6125.1
12.40	6153.8
12.50	6221.4
12.60	6267.0
12.70	6330.3
12.80	6370.8
12.90	6466.7
13.00	6443.3
13.10	6527.4
13.20	6543.1
13.30	6599.6
13.40	6674.7
13.50	6683.2
13.60	6724.8
13.70	6781.4
13.80	6851.8
13.90	6837.3
14.00	6923.3
14.10	6940.4
14.20	6956.9
14.30	7046.5
14.40	7058.7
14.50	7106.4
14.60	7165.2
14.70	7157.9
14.80	7211.5
14.90	7274.9
15.00	7286.4
15.10	7284.6
15.20	7350.0
15.30	7406.7
15.40	7434.2
15.50	7446.6
15.60	7514.7
15.70	7547.1
15.80	7588.3
15.90	7627.2
16.00	7673.8
16.10	7692.2
16.20	7693.7
16.30	7756.5
16.40	7781.9
16.50	7809.6
16.60	7831.7
16.70	7860.3
16.80	7910.2
16.90	7916.0
17.00	7921.5
17.10	7981.7
17.20	7996.2
17.30	8030.9
17.40	8066.2
17.50	8119.2
17.60	8141.5
17.70	8144.5
17.80	8154.6
17.90	8183.0
18.00	8228.8
18.10	8239.9
18.20	8246.2
18.30	8286.3
18.40	8334.6
18.50	8345.4
18.60	8344.4
18.70	8399.9
18.80	8413.9
18.90	8442.1
19.00	8463.3
19.10	8504.5
19.20	8500.1
19.30	8540.5
19.40	8551.2
19.50	8609.0
19.60	8602.9
19.70	8635.3
19.80	8705.8
19.90	8954.9
20.00	9629.2
20.10	10618.6
20.20	11196.1
20.30	10831.0
20.40	9893.8
20.50	9169.3
20.60	8869.2
20.70	8818.8
20.80	8818.6
20.90	8867.3
21.00	8886.6
21.10	8876.2
21.20	8918.2
21.30	8924.1
21.40	8954.8
21.50	8948.1
21.60	8950.9
21.70	8982.2
21.80	9045.1
21.90	9014.6
22.00	9073.9
22.10	9292.7
22.20	10287.9
22.30	12866.4
22.40	16766.6
22.50	19101.0
22.60	17503.1
22.70	13650.3
22.80	10706.4
22.90	9528.1
23.00	9254.8
23.10	9220.5
23.20	9166.1
23.30	9224.3
23.40	9253.0
23.50	9283.6
23.60	9266.4
23.70	9294.9
23.80	9286.6
23.90	9315.0
